_id,date,center_name,attendance_count
26575825,2023-11-22,Phillips Community Center,53
26575826,2023-11-22,Warrington Community Center,15
26575827,2023-11-22,Ammon Community Center,52
26575828,2023-11-22,Arlington Community Center,44
26575829,2023-11-22,Brookline Community Center,25
26575830,2023-11-22,Magee Community Center,26
26575831,2023-11-22,Paulson Community Center,21
26575832,2023-11-22,West Penn Community Center,29
26575833,2023-11-21,Warrington Community Center,15
26575834,2023-11-21,Phillips Community Center,49
26575835,2023-11-21,Arlington Community Center,43
26575836,2023-11-21,Ammon Community Center,130
26575837,2023-11-21,Brookline Community Center,26
26575838,2023-11-21,Jefferson Community Center,14
26575839,2023-11-21,Magee Community Center,26
26575840,2023-11-21,Paulson Community Center,11
26575841,2023-11-21,West Penn Community Center,137
26575842,2023-11-20,Phillips Community Center,84
26575843,2023-11-20,Warrington Community Center,23
26575844,2023-11-20,Ammon Community Center,8
26575845,2023-11-20,Arlington Community Center,46
26575846,2023-11-20,Jefferson Community Center,22
26575847,2023-11-20,Brookline Community Center,33
26575848,2023-11-20,Magee Community Center,32
26575849,2023-11-20,Paulson Community Center,20
26575850,2023-11-20,West Penn Community Center,44
26575851,2023-11-18,Phillips Community Center,1
26575852,2023-11-18,Arlington Community Center,68
26575853,2023-11-18,Brookline Community Center,4
26575854,2023-11-18,Paulson Community Center,14
26575855,2023-11-18,West Penn Community Center,22
26575856,2023-11-17,Phillips Community Center,29
26575857,2023-11-17,Warrington Community Center,35
26575858,2023-11-17,Arlington Community Center,22
26575859,2023-11-17,Ammon Community Center,6
26575860,2023-11-17,Brookline Community Center,25
26575861,2023-11-17,Jefferson Community Center,14
26575862,2023-11-17,Magee Community Center,35
26575863,2023-11-17,Paulson Community Center,21
26575864,2023-11-17,West Penn Community Center,52
26575865,2023-11-16,Warrington Community Center,15
26575866,2023-11-16,Phillips Community Center,57
26575867,2023-11-16,Ammon Community Center,18
26575868,2023-11-16,Arlington Community Center,22
26575869,2023-11-16,Jefferson Community Center,22
26575870,2023-11-16,Brookline Community Center,33
26575871,2023-11-16,Magee Community Center,33
26575872,2023-11-16,Paulson Community Center,25
26575873,2023-11-16,West Penn Community Center,33
26575874,2023-11-15,Phillips Community Center,48
26575875,2023-11-15,Warrington Community Center,21
26575876,2023-11-15,Arlington Community Center,50
26575877,2023-11-15,Ammon Community Center,23
26575878,2023-11-15,Brookline Community Center,26
26575879,2023-11-15,Magee Community Center,30
26575880,2023-11-15,Paulson Community Center,21
26575881,2023-11-15,West Penn Community Center,55
26575882,2023-11-14,Warrington Community Center,34
26575883,2023-11-14,Phillips Community Center,51
26575884,2023-11-14,Ammon Community Center,23
26575885,2023-11-14,Arlington Community Center,26
26575886,2023-11-14,Brookline Community Center,30
26575887,2023-11-14,Magee Community Center,43
26575888,2023-11-14,Paulson Community Center,14
26575889,2023-11-14,West Penn Community Center,124
26575890,2023-11-13,Phillips Community Center,67
26575891,2023-11-13,Warrington Community Center,22
26575892,2023-11-13,Arlington Community Center,31
26575893,2023-11-13,Ammon Community Center,27
26575894,2023-11-13,Brookline Community Center,38
26575895,2023-11-13,Jefferson Community Center,49
26575896,2023-11-13,Magee Community Center,24
26575897,2023-11-13,Paulson Community Center,10
26575898,2023-11-13,West Penn Community Center,44
26575899,2023-11-09,Warrington Community Center,16
26575900,2023-11-09,Phillips Community Center,65
26575901,2023-11-09,Ammon Community Center,12
26575902,2023-11-09,Arlington Community Center,5
26575903,2023-11-09,Brookline Community Center,36
26575904,2023-11-09,Magee Community Center,14
26575905,2023-11-09,Paulson Community Center,14
26575906,2023-11-09,West Penn Community Center,126
26575907,2023-11-08,Phillips Community Center,63
26575908,2023-11-08,Warrington Community Center,33
26575909,2023-11-08,Arlington Community Center,83
26575910,2023-11-08,Ammon Community Center,33
26575911,2023-11-08,Brookline Community Center,27
26575912,2023-11-08,Magee Community Center,8
26575913,2023-11-08,Paulson Community Center,18
26575914,2023-11-08,West Penn Community Center,69
26575915,2023-11-07,Warrington Community Center,1
26575916,2023-11-07,Ammon Community Center,30
26575917,2023-11-07,Arlington Community Center,5
26575918,2023-11-07,Magee Community Center,27
26575919,2023-11-07,Paulson Community Center,1
26575920,2023-11-07,West Penn Community Center,1
26575921,2023-11-06,Warrington Community Center,10
26575922,2023-11-06,Phillips Community Center,99
26575923,2023-11-06,Arlington Community Center,8
26575924,2023-11-06,Ammon Community Center,38
26575925,2023-11-06,Brookline Community Center,42
26575926,2023-11-06,Magee Community Center,19
26575927,2023-11-06,Paulson Community Center,16
26575928,2023-11-06,West Penn Community Center,27
26575929,2023-11-04,Phillips Community Center,73
26575930,2023-11-04,Magee Community Center,3
26575931,2023-11-04,Paulson Community Center,8
26575932,2023-11-04,West Penn Community Center,33
26575933,2023-11-03,Phillips Community Center,76
26575934,2023-11-03,Warrington Community Center,10
26575935,2023-11-03,Ammon Community Center,36
26575936,2023-11-03,Arlington Community Center,5
26575937,2023-11-03,Brookline Community Center,24
26575938,2023-11-03,Magee Community Center,18
26575939,2023-11-03,Paulson Community Center,16
26575940,2023-11-03,West Penn Community Center,70
26575941,2023-11-02,Warrington Community Center,18
26575942,2023-11-02,Phillips Community Center,42
26575943,2023-11-02,Arlington Community Center,17
26575944,2023-11-02,Ammon Community Center,24
26575945,2023-11-02,Brookline Community Center,37
26575946,2023-11-02,Magee Community Center,18
26575947,2023-11-02,Paulson Community Center,12
26575948,2023-11-02,West Penn Community Center,175
26575949,2023-11-01,Phillips Community Center,48
26575950,2023-11-01,Warrington Community Center,23
26575951,2023-11-01,Ammon Community Center,23
26575952,2023-11-01,Arlington Community Center,97
26575953,2023-11-01,Brookline Community Center,32
26575954,2023-11-01,Magee Community Center,23
26575955,2023-11-01,Paulson Community Center,11
26575956,2023-11-01,Ormsby Community Center,12
26575957,2023-11-01,West Penn Community Center,50
26575958,2023-10-31,Warrington Community Center,19
26575959,2023-10-31,Phillips Community Center,46
26575960,2023-10-31,Arlington Community Center,22
26575961,2023-10-31,Ammon Community Center,6
26575962,2023-10-31,Brookline Community Center,40
26575963,2023-10-31,Magee Community Center,11
26575964,2023-10-31,Ormsby Community Center,9
26575965,2023-10-31,Paulson Community Center,14
26575966,2023-10-31,West Penn Community Center,136
26575967,2023-10-30,Phillips Community Center,57
26575968,2023-10-30,Warrington Community Center,17
26575969,2023-10-30,Ammon Community Center,29
26575970,2023-10-30,Arlington Community Center,36
26575971,2023-10-30,Brookline Community Center,41
26575972,2023-10-30,Magee Community Center,15
26575973,2023-10-30,Paulson Community Center,14
26575974,2023-10-30,Ormsby Community Center,8
26575975,2023-10-30,West Penn Community Center,60
26575976,2023-10-29,Arlington Community Center,13
26575977,2023-10-28,Phillips Community Center,3
26575978,2023-10-28,Arlington Community Center,85
26575979,2023-10-28,Ammon Community Center,1
26575980,2023-10-28,Brookline Community Center,4
26575981,2023-10-28,Magee Community Center,5
26575982,2023-10-28,Ormsby Community Center,3
26575983,2023-10-28,Paulson Community Center,10
26575984,2023-10-28,West Penn Community Center,81
26575985,2023-10-27,Phillips Community Center,52
26575986,2023-10-27,Warrington Community Center,36
26575987,2023-10-27,Ammon Community Center,99
26575988,2023-10-27,Brookline Community Center,22
26575989,2023-10-27,Magee Community Center,14
26575990,2023-10-27,Paulson Community Center,19
26575991,2023-10-27,Ormsby Community Center,9
26575992,2023-10-27,West Penn Community Center,75
26575993,2023-10-26,Warrington Community Center,24
26575994,2023-10-26,Phillips Community Center,41
26575995,2023-10-26,Ammon Community Center,62
26575996,2023-10-26,Arlington Community Center,6
26575997,2023-10-26,Brookline Community Center,38
26575998,2023-10-26,Magee Community Center,30
26575999,2023-10-26,Ormsby Community Center,16
26576000,2023-10-26,Paulson Community Center,9
26576001,2023-10-26,West Penn Community Center,133
26576002,2023-10-25,Phillips Community Center,83
