_id,entry_id,object_id,name,description,type,project_stage,year_implemented,partners,idea_description,collector,source,photos,need_volunteers,need_funding,need_site_access,need_design,need_materials,need_volunteers_2,need_funding_2,need_materials_2,need_tools2,address,location,municipality,latitude,longitude
1,54f096d1d8030a0300bef793,0050M00157000000,Kincaid Street Community Garden,"Kincaid Street Community Garden was started as a partnership between PULSE and Garfield Community Action Team (GCAT). The gathering space and 38 raised garden plots are used by Garfield neighbors and friends to grow food and community. There is also a Little Free Library on site, created by Garfield kids at Assemble. ",Food-Garden,A-project-that-has-been-implemented-,2011,"GCAT, PULSE, Assemble",,Lydia,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-fl90sto.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-fmb0sph.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-fla0sff.jpg,f,f,f,f,f,f,f,f,f,Unknown Location,Pgh---East-End,,40.4659797555333,-79.9349083159229
2,54f096d3d8030a0300bef795,0050M00167000000,Kincaid Street Community Garden,"Kincaid Street Community Garden was started as a partnership between PULSE and Garfield Community Action Team (GCAT). The gathering space and 38 raised garden plots are used by Garfield neighbors and friends to grow food and community. There is also a Little Free Library on site, created by Garfield kids at Assemble. ",Food-Garden,A-project-that-has-been-implemented-,2011,"GCAT, PULSE, Assemble",,Lydia,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-5409--kincaid-st-pittsburgh-f2c0sgf.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-5409--kincaid-st-pittsburgh-f4d0s6d.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-5409--kincaid-st-pittsburgh-f4e0s8o.jpg,f,f,f,f,f,f,f,f,f,5409  KINCAID ST PITTSBURGH,Pgh---East-End,,40.4663750042901,-79.9348585701895
3,54f096d3d8030a0300bef797,0050M00158000000,Kincaid Street Community Garden,"Kincaid Street Community Garden was started as a partnership between PULSE and Garfield Community Action Team (GCAT). The gathering space and 38 raised garden plots are used by Garfield neighbors and friends to grow food and community. There is also a Little Free Library on site, created by Garfield kids at Assemble. ",Food-Garden,A-project-that-has-been-implemented-,2011,"GCAT, PULSE, Assemble",,Lydia,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-ftg0slz.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-flf0s5a.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-fuh0soo.jpg,f,f,f,f,f,f,f,f,f,Unknown Location,Pgh---East-End,,40.4659900376387,-79.9349837361936
4,54f096d4bfdf8a0300494259,0050M00169000000,Kincaid Street Community Garden,"Kincaid Street Community Garden was started as a partnership between PULSE and Garfield Community Action Team (GCAT). The gathering space and 38 raised garden plots are used by Garfield neighbors and friends to grow food and community. There is also a Little Free Library on site, created by Garfield kids at Assemble. ",Food-Garden,A-project-that-has-been-implemented-,2011,"GCAT, PULSE, Assemble",,Lydia,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-u8c0wfq.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-u8e0wxa.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-2-27-unknown-location-u8d0w3g.jpg,f,f,f,f,f,f,f,f,f,Unknown Location,Pgh---East-End,,40.4663726341656,-79.9347263254154
5,5522f6371051330300e07890,0382A00112000000,,,,An-idea-for-a-lot,,,"Ambassador: Julie ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-y710jeo.pdf | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-x800jrk.png,t,t,f,f,t,f,f,f,f,Unknown Location,,,40.3448049001114,-79.8651227750869
6,5522f7001051330300e07894,0382A00112000000,,,,An-idea-for-a-lot,,,"Bee & Butterfly Trail Garden. This site's proximity to the Great Allegheny Passage makes it ideal for a garden full of Pennsylvania native plants that attract birds, bees and other wildlife. This site is ReClaim Ambassador Julie's project. ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-j350jjm.pdf | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-j240jaa.png,t,f,f,t,t,f,f,f,f,Unknown Location,,,40.3448049001114,-79.8651227750869
7,5564782190b16f03006753d4,0382A00112000000,Bee & Butterfly Trail Garden,"This site's proximity to the Great Allegheny Passage makes it ideal for a garden full of Pennsylvania native plants that attract birds, bees and other wildlife. This site is ReClaim Ambassador Julie's project. ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",,A-project-that-is-in-progress-,,,,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-fx70bsb.JPG | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-fx60bwl.jpg | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-5-26-unknown-location-fx80bv1.jpg,f,f,f,f,f,t,f,f,f,Unknown Location,,,40.3448049001114,-79.8651227750869
8,5612b2d0262a280300867fbc,0382A00112000000,Great Allegheny Passage Trail Garden,ReClaim McKeesport Ambassador Julie created a trail garden full of bee-and-butterfly-attracting plants! ,Trail--Pathway,A-project-that-has-been-implemented-,2015,"Youth CAST, McKeesport Trail Commission",,GTECH Strategies,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-10-5-unknown-location-56q0ch1.jpg,f,f,f,f,f,f,f,f,f,Unknown Location,Municipality,McKeesport,40.3448049001114,-79.8651227750869
9,5522f63bc4433f0300c74fd4,0382A00110000000,,,,An-idea-for-a-lot,,,"Ambassador: Julie ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-sr003hu.png | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-t5103bo.pdf,t,t,f,f,t,f,f,f,f,Unknown Location,,,40.3446023633781,-79.8650468995008
10,5522f6fa1051330300e07892,0382A00110000000,,,,An-idea-for-a-lot,,,"Bee & Butterfly Trail Garden. This site's proximity to the Great Allegheny Passage makes it ideal for a garden full of Pennsylvania native plants that attract birds, bees and other wildlife. This site is ReClaim Ambassador Julie's project. ReClaim McKeesport is a program of GTECH Strategies. For more information, please visit us at https://gtechstrategies.org/projects/reclaim-mckeesport/",GTECH,mobile,http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-bt30jn5.pdf | http://localdata-uploads.s3.amazonaws.com/production/fb6dbc30-7bd9-11e4-abaf-a39ffd5c50e6/2015-4-6-unknown-location-bt20jp7.png,t,f,f,t,t,f,f,f,f,Unknown Location,,,40.3446023633781,-79.8650468995008
